map_generating,生成地图中，请稍等……
map_options/load_image_png,加载 PNG 图片
map_options/generate_map,生成图片
map_options/notes,"从文件生成地图的说明：
 
  - 每块颜色区域都被是为一块省份
  - 应为 png 格式
  - not exactly compatible with Vic 2 map format
  - 不使用抗锯齿
  - 图片尺寸为 200x200 像素 (average lags)，800x600 - huge lags，暂不支持更大的尺寸
  - 如果省份颜色为绿色 + 蓝色 >= 400 && 红色 < 96，则该省份将被视为海域"
map_options/map_examples,点我查看地图文件样例
modifier/conquered,"近期被征服"
modifier/blockade,"被封锁"
modifier/expire_year," 尚需 {0} 年失效"
modifier/permanent," (永久)"
other/gold_suffix," 黄金"
other/unknown,"未知"
product/grain,谷物
product/cattle,牛
product/liquor,酒类
product/wood,原木
product/lumber,木料
product/furniture,家具
product/cotton,棉花
product/clothes,服装
product/stone,石材
product/cement,水泥
product/metal_ore,金属矿石
product/metal,金属
product/cold_arms,冷兵器
product/ammunition,弹药
product/firearms,火器
product/artillery,火炮
product/oil,石油
product/motor_fuel,汽车燃料
product/machinery,机械
product/rubber,橡胶
product/cars,汽车
product/tanks,油罐
product/airplanes,飞机
product/coal,煤炭
product/tobacco,烟草
product/electronics,电子产品
product/gold,黄金
product/education,教育
product/food,食品
product/sugar,糖类
product/fibers,纤维
product/fuel,燃料
production/farm,农场
production/forestry,林业
production/gold,金矿
production/metal_pit,金属矿坑
production/quarry,采石场
production/tobacco,烟草农场
production/oil_rig,石油钻井平台
production/rubber,橡胶园
production/barnyard,畜牧场
production/furniture,家具厂
production/sawmill,锯木厂
production/metal_smelter,金属冶炼厂
production/weaver,织布厂
production/distillery,酒厂
production/smithery,铁匠铺
production/ammunition,弹药厂
production/firearms,火器厂
production/artillery,火炮厂
production/oil_refinery,炼油厂
production/machinery,机械厂
production/car,汽车厂
production/tank,坦克工厂
production/airplane,飞机制造厂
production/electronics,电子厂
production/university,大学
population/workers,工人
population/artisans,技工
population/farmers,农民
population/tribesmen,部落成员
population/capitalists,资本家
population/aristocrats,贵族
population/soldiers,士兵
population_panel/title,社会群体
province_panel/detail_province,省份：
province_panel/detail_population,"
人口 (with families)："
province_panel/detail_loyalty_avg,"
平均忠诚度："
province_panel/detail_resource,"
资源："
province_panel/detail_cores,"
归属感："
province_panel/detail_cultures,"
文化："
province_panel/detail_classes,"
阶级："
province_panel/detail_modifiers,"
Modifiers："
province_panel/owner,属于：{SelectedProvinceCountry}
province_panel/population,人口详情
province_panel/mobilize,动员
province_panel/enterprises,企业
province_panel/build,建设
province_panel/grant_independence,给予独立
pop_unit_panel/title,
pop_unit_panel/,"人口: "
pop_unit_panel/unemployment,", 失业: "
pop_unit_panel/neet,", 啃老族: "
pop_unit_panel/producing,", 生产: "
pop_unit_panel/gained,"
获得: "
pop_unit_panel/produced,"
已生产: "
pop_unit_panel/storage,", 存储: "
pop_unit_panel/unsold,", 未售出: "
pop_unit_panel/input_required,"
需求输入: "
pop_unit_panel/stockpile,"
储存:  "
pop_unit_panel/,", Resource availability: "
pop_unit_panel/to_market,"
发送至市场: "
pop_unit_panel/consumed,"
已消耗: "
pop_unit_panel/cash,"

现金: "
pop_unit_panel/,"
Loan: "
pop_unit_panel/,"
Deposit: "
pop_unit_panel/,"

Needs fulfilled (total): "
pop_unit_panel/,"
Loyalty: "
pop_unit_panel/,"
Member of "
pop_unit_panel/seek_job,"

求职中: "
pop_unit_panel/education,"
教育水平: "
pop_unit_panel/culture,"
文化: "
pop_unit_panel/,", minority"
pop_unit_panel/mobilized,"
已动员: "
pop_unit_panel/life_needs,"生活需求: "
pop_unit_panel/day_need,"日常需求: "
pop_unit_panel/luxury_need,"奢侈品需求: "
pop_unit_panel/balance,"余额: "
top_panel/rule,"你掌控着: "
top_panel/tips," (被敌人摧毁，但仍能复辟)"
top_panel/time,"    年份: "
top_panel/population,"   人口: "
top_panel/money,"
国库: "
top_panel/tech_point,"   技术点: "
top_panel/loyalty,"   忠诚: "
top_panel/education,"   教育: "
statistics_panel/title,统计
tutorial/title,教程
tutorial/content,"你好呀，“Prosperity Wars”是一款经济模拟游戏，这是“超级”早期的演示版本。

目前我们实现了：
   人口 agents \ 工厂 \ 国家 \ 国有银行
   基本的贸易 \ 生产 \ 消费 
   基本的战乱
   基本的科研
   基本的改革 (民众通过投票来决定改革)
   民众社会阶层的下降 \ 晋升 
   移民 \ 迁徙 \ 同化
   政治 \ 文化 \ core \ 资源 \ 人口 \ 丰富的地图模式
   政治运动、暴动与叛乱

你的国家是{PlayerFullName}，你可以自由的发展经济或征服世界。

或者，你也可以将控制权交予 AI 并观察它的行为和影响。

用方向键或 WASD 键，你能移动地图；鼠标滚轮可以控制地图比例尺。
'Enter' 键可以关闭顶部看板，'Space' 键则可以暂停/继续，左 'Alt' 键用于添加命令或单位。
如果您愿意分享：游玩本游戏的感受、您对于改进游戏的设想，我们将不胜感激！"
